	medcode	clin_events	Term
79620	47123	1264	Alcohol counselling by other agencies
80434	30695	25528	Harmful alcohol use
80499	36296	453	Acute alcoholic intoxication in alcoholism NOS
81450	54504	2	[X]Eviden of alcoh involv blood alcoh level 100-119mg/100ml
81518	47907	19	[X]Eviden of alcoh involv blood alcoh level 200-239mg/100ml
85486	10658	2343	HoNOS item 3 - alcohol/drug problem
85765	25110	407	Alcohol withdrawal hallucinosis
86865	64101	142	[X]Men & behav dis due alcohl: withdrawl state with delirium
87068	12554	10505	Referral to community drug and alcohol team
87297	97680	2514	Declined referral to specialist alcohol treatment service
87861	39726	18	[X]Eviden alcoh involv blood alcoh level 240mg/100ml or more
88626	7602	185	Chronic alcoholic hepatitis
88671	2084	281870	Alcohol dependence syndrome
89523	9489	9777	Under care of community alcohol team
90681	27342	1104	Alcoholic dementia NOS
92458	104611	627	Alcohol-induced acute pancreatitis
92815	54505	250	Other alcoholic dementia
95213	37946	95	Chronic alcoholic brain syndrome
95249	110494	58	Alcohol harm reduction programme
95960	97163	9	Advice to change alcoholic drink intake
96370	20762	113	Alcohol amnestic syndrome
97489	12984	4706	Very heavy drinker
97654	30162	158	[X]Alcoholic paranoia
97899	3216	5243	Acute alcoholic hepatitis
98462	44019	61	[X]Evidence of alcohl involv determin by blood alcohl level
98763	109668	126	Specialist alcohol treatment service signposted
99055	110624	57	Alcohol relapse prevention
99338	10463	736	[X]Intent self poison/exposure to alcohol
101214	68159	3	[X]Poison/exposure ?intent, to alcohol at home
101529	22277	1289	DTs - delirium tremens
101581	6169	11877	Alcohol dependence syndrome NOS
103005	12974	3865	Nondependent alcohol abuse, episodic
103808	87505	3	Absinthe addiction
105014	24064	632	Continuous chronic alcoholism
105076	17330	581	Alcoholic hepatic failure
105405	20514	360	[X]Mental and behav dis due to use alcohol: withdrawal state
105608	12496	1451	Community detoxification registered
105674	63529	8109	Alcohol misuse - enhanced service completed
106830	12977	64603	Very heavy drinker - >9u/day
109225	17259	2156	[X]Delirium tremens, alcohol induced
110690	72757	17	Fetus/neonate affected by placental/breast transfer alcohol
112395	113908	4	HoNOSCA item 4 - alcohol, substance/solvent misuse
112821	41983	329	Alcohol detoxification
112995	84218	566	Disqualified from driving due to excess alcohol
113445	27670	30	Maternal care for (suspected) damage to fetus from alcohol
113646	102665	435	Increasing risk drinking
113723	102448	251	Higher risk drinking
114026	96054	6897	Extended intervention for excessive alcohol consumptn complt
115162	103459	635	Referral to community alcohol team declined
115687	30604	803	Alcohol-induced epilepsy
115950	29691	502	Aversion therapy - alcoholism
