	medcode	readcode	clinicalevents	readterm
560	59725	C109111	6	Type II diabetes mellitus with ophthalmic complications
561	110611	C10P111	181	Type 2 diabetes mellitus in remission
562	93727	C10FE11	143	Type II diabetes mellitus with diabetic cataract
563	41389	C105100	191	Diabetes mellitus, adult onset, + ophthalmic manifestation
564	37806	C10FF00	201	Type 2 diabetes mellitus with peripheral angiopathy
565	50813	C109A11	1	Type II diabetes mellitus with mononeuropathy
566	34912	C109400	237	Non-insulin dependent diabetes mellitus with ulcer
567	107701	C10FK11	2	Hyperosmolar non-ketotic state in type II diabetes mellitus
568	39406	C109800	21	Reaven's syndrome
569	61071	C109D12	8	Type 2 diabetes mellitus with hypoglycaemic coma
570	40401	C109500	25	Non-insulin dependent diabetes mellitus with gangrene
571	22884	C10F.11	11222	Type II diabetes mellitus
572	39481	C10F811	223	Metabolic syndrome X
573	29979	C109900	330	Non-insulin-dependent diabetes mellitus without complication
574	18766	212H.00	5216	Diabetes resolved
575	32193	C11y000	444	Steroid induced diabetes
576	18425	C10FB00	324	Type 2 diabetes mellitus with polyneuropathy
577	47954	C10F900	1030	Type 2 diabetes mellitus without complication
578	8446	L180811	44803	Gestational diabetes mellitus
579	40962	C109H00	15	Non-insulin dependent d m with neuropathic arthropathy
580	25591	C10FQ00	292	Type 2 diabetes mellitus with exudative maculopathy
