	prodcode	productname	ingredient	bnfchapter	bnftext
39410	7011	Sodium valproate with valproic acid 300mg modified release tablets	Sodium Valproate	04080100	Control Of Epilepsy
40043	36318	Sodium valproate 1g modified-release granules sachets sugar free	Sodium valproate	04080100	Control Of Epilepsy
40132	60332	Sodium valproate 200mg/5ml oral solution sugar free (Wockhardt UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
40385	30081	Sodium valproate CR 500mg Tablet (Hillcross Pharmaceuticals Ltd)	Sodium Valproate	04080100	Control Of Epilepsy
40732	76477	Depakote 125mg sprinkle gastro-resistant capsules (Imported (United States))	Valproate semisodium	04080100	Control Of Epilepsy
40932	71621	Sodium valproate 200mg gastro-resistant tablets (Zentiva Pharma UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
41877	34707	Sodium valproate 200mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
43708	39427	Sodium valproate with valproic acid 750mg modified release granules	Sodium Valproate	04080100	Control Of Epilepsy
43819	40395	Sodium valproate 100mg tablets (Viatris UK Healthcare Ltd)	Sodium valproate	04080100	Control Of Epilepsy
44154	74482	Valproic acid 250mg/5ml oral suspension	Valproate semisodium	04020300/04080100	Products Used For Mania And Hypomania/Control Of Epilepsy
44639	56076	Sodium valproate 500mg/5ml oral suspension	Sodium valproate	04080100	Control Of Epilepsy
46058	51751	Sodium valproate 200mg gastro-resistant tablets (Wockhardt UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
46264	33106	Sodium valproate 200mg/5ml Oral solution (IVAX Pharmaceuticals UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
47674	45106	Sodium valproate 250mg modified-release granules sachets sugar free	Sodium valproate	04080100	Control Of Epilepsy
49344	45419	Sodium valproate 50mg modified-release granules sachets sugar free	Sodium valproate	04080100	Control Of Epilepsy
50040	39452	Sodium valproate with valproic acid 500mg modified release granules	Sodium Valproate	04080100	Control Of Epilepsy
50073	46774	Sodium valproate 500mg gastro-resistant tablets (Teva UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
50284	77514	Sodium valproate 500mg gastro-resistant tablets (Wockhardt UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
50828	35024	Sodium valproate 300mg modified-release capsules	Sodium valproate	04080100	Control Of Epilepsy
51210	34414	Sodium valproate 200mg Tablet (Sterwin Medicines)	Sodium valproate	04080100	Control Of Epilepsy
51578	40070	Sodium valproate 300mg/3ml solution for injection ampoules	Sodium valproate	04080100	Control Of Epilepsy
51964	15650	Valproic acid 300mg gastro-resistant capsules	Valproic acid	04070402/04080100	Prophylaxis Of Migraine/Control Of Epilepsy
52584	42090	Sodium valproate 200mg/5ml oral solution sugar free (Zentiva Pharma UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
52728	39039	Sodium valproate 200mg modified-release tablets	Sodium valproate	04080100	Control Of Epilepsy
53601	54828	Sodium valproate 600mg/5ml oral solution	Sodium valproate	04080100	Control Of Epilepsy
54344	72851	Valproic acid 250mg/5ml oral solution	Valproate semisodium	04020300/04080100	Products Used For Mania And Hypomania/Control Of Epilepsy
55285	34151	Valproate sodium 500mg Gastro-resistant tablet (IVAX Pharmaceuticals UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
55310	85888	Dyzantil 500mg modified-release tablets (Aspire Pharma Ltd)	Sodium valproate	04080100	Control Of Epilepsy
57309	80973	Sodium valproate 500mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)	Sodium valproate	04080100	Control Of Epilepsy
57487	34120	Sodium valproate 200mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)	Sodium valproate	04080100	Control Of Epilepsy
59730	6305	Valproic acid 500mg gastro-resistant tablets	Valproate semisodium	04020300/04070402	Products Used For Mania And Hypomania/Prophylaxis Of Migraine
60190	1550	Sodium valproate 200mg/5ml oral solution	Sodium valproate	04080100	Control Of Epilepsy
60359	55006	Sodium valproate 500mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)	Sodium valproate	04080100	Control Of Epilepsy
64362	53197	Sodium valproate 300mg modified-release tablets (Sigma Pharmaceuticals Plc)	Sodium valproate	04080100	Control Of Epilepsy
64603	81608	Sodium valproate 500mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
67550	5848	Valproic acid 250mg gastro-resistant tablets	Valproate semisodium	04020300/04070402	Products Used For Mania And Hypomania/Prophylaxis Of Migraine
71431	77272	Sodium valproate 500mg Tablet (Sterwin Medicines)	Sodium valproate	04080100	Control Of Epilepsy
71781	9168	SOD VALPROATE C/R 200 MG TAB		00000000	Unknown
71855	68151	Sodium valproate 60mg/5ml oral solution	Sodium valproate	04080100	Control Of Epilepsy
73529	80601	Syonell 500mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd)	Valproate semisodium	04020300/04070402	Products Used For Mania And Hypomania/Prophylaxis Of Migraine
74089	39276	Sodium valproate with valproic acid 250mg modified release granules	Sodium Valproate	04080100	Control Of Epilepsy
74138	34178	Sodium valproate 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)	Sodium valproate	04080100	Control Of Epilepsy
74956	80329	Belvo 500mg gastro-resistant tablets (Consilient Health Ltd)	Valproate semisodium	04020300/04070402	Products Used For Mania And Hypomania/Prophylaxis Of Migraine
75212	9281	Sodium valproate with valproic acid 200mg modified release tablets	Sodium Valproate	04080100	Control Of Epilepsy
75824	40400	Sodium valproate 500mg Gastro-resistant tablet (C P Pharmaceuticals Ltd)	Sodium valproate	04080100	Control Of Epilepsy
76828	78727	Sodium valproate 500mg gastro-resistant tablets (Viatris UK Healthcare Ltd)	Sodium valproate	04080100	Control Of Epilepsy
77486	34626	Sodium valproate 200mg gastro-resistant tablets (Viatris UK Healthcare Ltd)	Sodium valproate	04080100	Control Of Epilepsy
77601	82296	Sodium valproate 300mg modified-release tablets (Ennogen Healthcare Ltd)	Sodium valproate	04080100	Control Of Epilepsy
79549	76964	Sodium valproate 200mg gastro-resistant tablets (Waymade Healthcare Plc)	Sodium valproate	04080100	Control Of Epilepsy
79683	77195	Sodium valproate 500mg modified-release tablets (DE Pharmaceuticals)	Sodium valproate	04080100	Control Of Epilepsy
80097	43178	Sodium valproate with valproic acid 1000mg modified release granules	Sodium Valproate	04080100	Control Of Epilepsy
84332	45344	Sodium valproate 200mg/5ml Oral solution (Hillcross Pharmaceuticals Ltd)	Sodium valproate	04080100	Control Of Epilepsy
84774	6711	Sodium valproate 300mg modified-release tablets	Sodium valproate	04080100	Control Of Epilepsy
84825	584	Sodium valproate 200mg gastro-resistant tablets	Sodium valproate	04080100	Control Of Epilepsy
85564	62637	Sodium valproate 200mg gastro-resistant tablets (Actavis UK Ltd)	Sodium valproate	04080100	Control Of Epilepsy
85975	3845	Sodium valproate 200mg/5ml oral solution sugar free	Sodium valproate	04080100	Control Of Epilepsy
86205	16021	Valproic acid 500mg gastro-resistant capsules	Valproic acid	04070402/04080100	Prophylaxis Of Migraine/Control Of Epilepsy
